country,station,ds,y,elevation,coord,lat,lon
Algeria,Bordj Badj Mokhtar,1988-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-02-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-05-01,33,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-06-01,37.1,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-07-01,37.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-10-01,29.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1988-12-01,14.6,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-02-01,18.7,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-04-01,27.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-05-01,32.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-10-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-11-01,24.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1989-12-01,19.4,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-02-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-03-01,25.2,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-04-01,28.9,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-07-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-09-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-10-01,30.3,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1990-12-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-02-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-03-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-04-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-05-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-06-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-07-01,36.5,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-08-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-09-01,34,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-10-01,29.8,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-11-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1991-12-01,,399,"0.95 E, 21.333 N",0.95,21.333
Algeria,Bordj Badj Mokhtar,1992-01-01,,399,"0.95 E, 21.333 N",0.95,21.333
