YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1940,11.64,13.93,18.26,20.70,999.90,28.25,27.38,26.86,25.14,22.23,18.03,999.90,12.83,21.46,27.50,21.80,20.90
1941,13.76,14.95,18.63,21.60,26.29,28.15,28.69,27.93,25.92,21.93,17.82,15.83,14.40,22.17,28.26,21.89,21.68
1942,10.97,14.08,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.63,999.90,999.90,999.90,999.90
1943,999.90,999.90,999.90,999.90,999.90,999.90,28.54,27.90,26.37,24.44,18.24,15.59,999.90,999.90,28.31,23.02,999.90
1944,10.99,12.88,15.62,22.11,25.49,29.56,29.47,28.90,26.87,23.73,19.88,14.70,13.15,21.07,29.31,23.49,21.76
1945,13.06,14.33,16.84,22.20,24.59,27.64,28.95,29.04,26.67,23.14,19.03,13.89,14.03,21.21,28.54,22.95,21.68
1946,13.72,13.80,18.43,22.82,26.52,29.00,28.66,27.53,26.59,23.26,18.89,12.55,13.80,22.59,28.40,22.91,21.93
1947,13.54,16.82,19.68,21.63,24.79,28.06,29.18,999.90,999.90,22.43,17.57,12.90,14.30,22.03,28.42,22.17,21.73
1948,12.40,15.31,15.93,21.82,25.86,29.22,28.39,28.14,26.69,22.46,16.13,13.05,13.54,21.20,28.58,21.76,21.27
1949,12.39,13.77,18.22,23.37,25.09,28.76,28.36,28.13,25.62,22.38,19.06,16.72,13.07,22.23,28.42,22.35,21.52
1950,12.01,14.53,16.11,19.53,24.31,28.38,28.80,27.40,25.95,22.86,17.20,12.68,14.42,19.98,28.19,22.00,21.15
1951,12.13,16.17,19.60,22.76,26.78,28.08,28.66,28.14,25.18,23.09,18.38,14.75,13.66,23.05,28.29,22.22,21.80
1952,12.83,13.84,18.23,21.91,24.80,27.69,999.90,27.09,26.37,23.23,18.28,11.45,13.81,21.65,27.51,22.63,21.40
1953,11.86,16.11,16.80,22.72,24.86,28.03,28.45,26.63,26.24,22.82,18.68,14.33,13.14,21.46,27.70,22.58,21.22
1954,12.84,14.20,17.81,20.73,25.96,27.79,28.58,27.65,24.72,21.49,17.58,13.86,13.79,21.50,28.01,21.26,21.14
1955,13.47,16.43,17.24,20.52,24.74,28.00,28.53,28.55,26.88,23.49,18.45,13.41,14.59,20.83,28.36,22.94,21.68
1956,13.25,14.49,17.08,22.68,26.09,27.50,28.01,27.35,25.67,21.12,18.18,11.36,13.72,21.95,27.62,21.66,21.24
1957,11.60,16.82,17.50,20.29,24.38,27.78,27.30,28.14,26.06,21.92,17.09,14.44,13.26,20.72,27.74,21.69,20.85
1958,14.02,14.89,18.15,23.35,25.34,29.16,29.16,27.94,26.22,22.25,17.32,14.54,14.45,22.28,28.75,21.93,21.85
1959,13.55,15.22,19.45,22.09,25.71,28.42,28.88,27.87,27.08,23.02,18.50,13.89,14.44,22.42,28.39,22.87,22.03
1960,12.70,16.10,17.69,20.29,24.47,27.77,28.66,28.55,26.70,24.25,17.95,12.52,14.23,20.82,28.33,22.97,21.59
1961,11.70,13.24,15.56,21.56,26.66,29.33,27.49,27.84,25.69,22.53,18.47,13.64,12.49,21.26,28.22,22.23,21.05
1962,13.43,14.06,16.85,20.99,25.57,28.08,28.38,27.46,27.04,22.92,18.92,13.54,13.71,21.14,27.97,22.96,21.45
1963,15.30,17.67,16.69,22.01,23.04,27.61,28.99,28.30,27.46,21.04,16.88,14.86,15.50,20.58,28.30,21.79,21.54
1964,12.55,14.58,20.67,20.83,25.26,28.26,28.10,27.98,24.76,20.81,15.94,14.25,14.00,22.25,28.11,20.50,21.22
1965,14.28,15.41,18.01,19.36,25.71,27.15,28.09,26.90,26.33,24.01,18.13,13.58,14.65,21.03,27.38,22.82,21.47
1966,14.40,16.25,17.05,22.29,24.54,29.12,29.10,28.08,26.52,23.08,18.52,14.04,14.74,21.29,28.77,22.71,21.88
1967,11.62,15.33,18.54,22.58,26.47,27.99,27.58,27.69,26.94,21.62,17.94,12.78,13.66,22.53,27.75,22.17,21.53
1968,10.80,15.83,18.77,22.89,25.02,27.53,28.27,28.17,26.54,21.68,18.15,14.03,13.14,22.23,27.99,22.12,21.37
1969,13.34,17.80,21.84,21.84,26.30,30.33,28.77,28.62,27.83,22.27,18.18,14.64,15.06,23.33,29.24,22.76,22.60
1970,14.74,16.01,18.85,22.23,26.08,29.19,28.78,28.33,25.90,22.41,17.86,14.08,15.13,22.39,28.77,22.06,22.09
1971,12.80,16.27,19.94,21.92,25.60,28.20,28.20,27.30,26.22,20.78,17.55,16.45,14.38,22.49,27.90,21.52,21.57
1972,12.54,15.41,17.93,20.42,23.46,28.49,29.45,28.10,27.16,23.04,17.60,14.33,14.80,20.60,28.68,22.60,21.67
1973,11.75,14.15,16.81,22.38,27.33,29.40,28.48,28.35,25.97,999.90,17.22,14.37,13.41,22.17,28.74,21.78,21.53
1974,11.50,12.78,18.48,20.30,25.66,28.67,28.25,27.20,25.96,22.71,15.83,11.92,12.88,21.48,28.04,21.50,20.98
1975,10.14,12.73,16.19,23.32,25.38,28.74,27.39,27.69,25.85,22.44,16.38,15.48,11.60,21.63,27.94,21.56,20.68
1976,10.90,13.38,999.90,20.37,25.27,28.37,29.37,27.84,26.54,23.04,17.08,14.71,13.25,20.78,28.53,22.22,21.20
1977,14.16,15.29,17.44,22.47,25.39,29.43,29.52,29.29,27.14,22.56,15.76,14.44,14.72,21.77,29.41,21.82,21.93
1978,13.60,16.00,19.06,21.74,27.36,28.75,27.61,28.02,26.19,22.84,17.71,14.77,14.68,22.72,28.13,22.25,21.94
1979,16.49,14.38,18.87,20.74,25.20,28.81,29.17,28.64,27.09,23.37,16.40,13.08,15.21,21.60,28.87,22.29,21.99
1980,14.58,15.52,17.94,23.32,25.94,29.70,29.02,27.92,26.12,22.72,18.21,11.42,14.39,22.40,28.88,22.35,22.01
1981,10.43,14.75,19.21,24.48,26.95,28.46,29.22,28.46,26.45,22.53,15.84,14.92,12.20,23.55,28.71,21.61,21.52
1982,11.83,13.59,17.41,21.81,26.09,28.41,28.56,28.22,26.41,23.02,16.58,13.21,13.45,21.77,28.40,22.00,21.40
1983,11.59,15.36,16.96,22.77,29.11,28.64,29.53,29.08,26.88,21.59,18.51,13.14,13.39,22.95,29.08,22.33,21.94
1984,12.23,13.44,18.80,23.02,27.60,29.20,27.47,27.83,26.47,22.14,17.97,12.49,12.94,23.14,28.17,22.19,21.61
1985,12.48,15.95,18.24,20.81,25.23,29.87,27.74,28.20,26.57,22.04,18.83,13.23,13.64,21.43,28.60,22.48,21.54
1986,11.83,14.88,18.27,25.47,26.27,29.91,29.30,28.59,26.81,23.35,16.62,11.81,13.31,23.34,29.27,22.26,22.04
1987,12.85,14.90,19.16,21.98,28.75,28.94,30.99,29.37,26.58,23.20,17.86,15.78,13.19,23.30,29.77,22.55,22.20
1988,13.86,16.25,18.75,25.03,26.94,30.45,29.99,28.87,27.45,22.48,17.41,11.27,15.30,23.57,29.77,22.45,22.77
1989,12.55,13.17,17.34,21.78,25.83,29.57,28.83,28.31,27.58,22.42,17.61,14.77,12.33,21.65,28.90,22.54,21.36
1990,13.59,14.48,18.13,24.01,999.90,29.60,28.42,28.18,26.81,23.69,18.10,14.39,14.28,23.05,28.73,22.87,22.23
1991,12.05,14.32,18.13,22.56,25.36,29.66,29.38,28.34,26.98,22.89,17.78,12.62,13.59,22.02,29.13,22.55,21.82
1992,11.10,15.20,17.23,20.32,24.10,29.94,28.93,27.50,25.04,21.89,16.28,13.87,12.97,20.55,28.79,21.07,20.85
1993,10.71,13.95,17.46,21.90,25.32,29.48,28.45,27.80,27.82,22.81,18.50,12.93,12.84,21.56,28.58,23.04,21.51
1994,12.33,13.12,19.07,20.75,25.87,28.45,28.57,28.09,26.59,22.51,17.27,12.93,12.79,21.90,28.37,22.12,21.30
1995,9.74,13.59,18.19,21.98,26.68,29.21,29.67,30.00,28.53,23.07,17.72,14.90,12.09,22.28,29.63,23.11,21.78
1996,14.43,15.88,18.20,21.34,27.73,27.94,28.96,29.24,28.18,22.79,17.63,14.59,15.07,22.42,28.71,22.87,22.27
1997,13.89,14.18,16.18,21.23,26.89,29.29,29.93,28.68,26.85,24.16,18.64,13.78,14.22,21.43,29.30,23.22,22.04
1998,13.77,16.22,16.43,24.94,27.82,29.30,29.86,29.84,29.04,24.08,15.67,14.80,14.59,23.06,29.67,22.93,22.56
1999,12.66,11.89,18.20,24.52,27.78,29.64,30.63,29.65,28.00,24.10,18.67,14.18,13.12,23.50,29.97,23.59,22.55
2000,13.30,13.30,19.10,25.90,28.44,28.90,29.50,28.80,27.50,23.50,18.10,14.40,13.59,24.48,29.07,23.03,22.54
2001,13.60,14.40,21.00,22.46,27.60,30.00,30.40,29.40,28.37,23.10,18.30,15.30,14.13,23.69,29.93,23.26,22.75
2002,12.70,14.90,19.60,23.30,28.40,29.51,30.37,30.02,29.10,22.00,17.90,15.80,14.30,23.77,29.97,23.00,22.76
2003,14.20,15.50,18.19,24.00,27.90,28.80,30.04,29.00,28.40,24.70,19.40,13.60,15.17,23.36,29.28,24.17,22.99
2004,12.70,16.60,19.10,999.90,27.20,28.90,29.00,29.90,27.40,24.00,18.10,15.70,14.30,23.21,29.27,23.17,22.49
2005,11.70,15.10,20.05,24.95,28.00,28.50,30.20,29.35,28.00,24.25,18.60,14.23,14.17,24.33,29.35,23.62,22.87
2006,12.64,16.00,20.00,24.70,27.60,29.50,29.70,30.00,27.40,23.70,16.90,13.70,14.29,24.10,29.73,22.67,22.70
2007,14.30,16.10,18.80,23.80,27.00,30.50,29.80,28.80,27.40,23.50,18.10,14.20,14.70,23.20,29.70,23.00,22.65
2008,10.20,14.90,19.00,23.80,27.50,30.50,30.30,28.90,28.70,24.10,18.20,13.90,13.10,23.43,29.90,23.67,22.52
2009,13.10,16.90,20.60,23.00,26.70,29.50,30.10,29.00,27.70,24.60,17.80,16.20,14.63,23.43,29.53,23.37,22.74
2010,14.50,19.00,21.50,26.30,28.90,30.60,29.80,29.30,27.90,25.60,20.00,16.20,16.57,25.57,29.90,24.50,24.13
2011,14.20,15.20,22.30,23.70,27.90,30.20,30.10,29.30,28.20,22.70,19.00,13.00,15.20,24.63,29.87,23.30,23.25
2012,11.40,14.60,17.50,24.20,28.40,30.10,30.20,28.30,27.80,23.50,19.50,15.10,13.00,23.37,29.53,23.60,22.38
2013,11.75,14.30,21.00,23.30,27.70,30.30,30.10,28.90,27.60,23.40,17.70,13.20,13.72,24.00,29.77,22.90,22.60
2014,13.90,15.10,18.05,24.29,27.10,30.40,30.50,29.55,28.35,22.80,19.20,12.85,14.07,23.15,30.15,23.45,22.70
2015,12.35,15.10,16.95,23.00,27.95,30.05,29.40,29.95,28.10,25.05,17.70,14.05,13.43,22.63,29.80,23.62,22.37
2016,15.15,16.85,17.25,25.50,29.20,31.05,30.20,29.05,28.15,23.90,18.90,15.70,15.35,23.98,30.10,23.65,23.27
2017,10.60,16.75,20.10,23.15,29.05,28.95,30.40,29.50,28.30,23.20,17.60,14.00,14.35,24.10,29.62,23.03,22.77
2018,14.20,14.95,19.35,23.65,27.75,31.15,30.75,28.60,27.65,24.10,19.75,14.25,14.38,23.58,30.17,23.83,22.99
2019,11.00,12.95,18.60,22.40,27.25,30.20,30.80,29.75,28.60,24.20,18.25,999.90,12.73,22.75,30.25,23.68,22.35
2020,13.70,17.30,19.75,25.65,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,15.54,24.68,999.90,999.90,999.90
