YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1981,999.90,8.57,999.90,16.69,21.75,999.90,29.32,26.59,23.90,19.85,12.26,10.24,999.90,17.09,26.89,18.67,17.54
1982,8.54,8.89,12.45,14.62,20.35,28.33,30.64,30.09,24.27,17.97,999.90,6.82,9.22,15.81,29.69,17.92,18.16
1983,6.48,8.75,13.06,17.97,21.03,26.48,30.06,29.95,25.03,19.10,13.93,8.14,7.35,17.35,28.83,19.35,18.22
1984,999.90,9.11,11.53,17.40,18.18,26.79,29.50,28.72,25.15,999.90,999.90,999.90,8.23,15.70,28.34,999.90,17.53
1985,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90
1986,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,11.69,8.13,999.90,999.90,999.90,999.90,999.90
1987,7.35,9.95,999.90,999.90,21.35,999.90,999.90,999.90,999.90,19.65,999.90,999.90,8.48,999.90,999.90,999.90,999.90
1988,999.90,999.90,999.90,999.90,22.42,999.90,31.22,32.02,999.90,999.90,999.90,999.90,999.90,999.90,30.56,999.90,999.90
1989,5.79,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.89,999.90,999.90,999.90,999.90,999.90,999.90
1990,999.90,999.90,999.90,999.90,20.26,999.90,999.90,999.90,999.90,20.56,12.86,999.90,999.90,999.90,999.90,19.77,999.90
1991,999.90,8.03,999.90,14.43,999.90,999.90,31.03,999.90,25.23,999.90,999.90,7.70,999.90,999.90,999.90,999.90,999.90
1992,5.70,999.90,999.90,15.10,999.90,24.00,28.30,999.90,28.30,18.80,12.40,7.78,7.11,999.90,26.40,19.83,17.36
1993,999.90,7.18,999.90,999.90,999.90,999.90,999.90,999.90,23.78,19.18,999.90,8.35,7.08,999.90,999.90,18.28,999.90
1994,8.75,999.90,13.85,15.05,24.55,28.95,999.90,31.65,999.90,18.25,999.90,8.45,8.96,17.82,31.11,999.90,19.40
1995,7.95,12.14,12.40,14.50,999.90,26.25,31.45,29.25,23.60,18.10,999.90,10.81,9.51,15.79,28.98,17.65,17.98
1996,10.16,999.90,999.90,999.90,999.90,999.90,999.90,999.90,23.51,999.90,13.10,999.90,10.89,999.90,999.90,18.45,999.90
1997,8.96,11.71,13.16,16.06,23.76,28.40,31.65,29.46,999.90,18.56,13.06,9.27,10.33,17.66,29.84,18.87,19.17
1998,8.27,10.22,12.77,17.62,20.22,26.62,31.22,30.27,27.07,16.97,13.02,7.18,9.25,16.87,29.37,19.02,18.63
1999,7.78,7.78,999.90,17.68,25.28,29.83,31.47,32.48,26.28,21.58,11.42,8.23,7.58,19.35,31.26,19.76,19.49
2000,5.58,10.53,14.53,17.67,23.28,26.97,31.43,28.88,25.33,17.28,13.13,10.29,8.11,18.49,29.09,18.58,18.57
2001,8.99,9.69,999.90,17.09,21.49,30.19,32.37,31.40,25.89,22.82,12.29,8.00,9.66,17.16,31.32,20.33,19.62
2002,7.10,10.90,14.80,16.90,22.30,25.60,30.64,29.45,24.90,19.20,13.50,10.79,8.67,18.00,28.56,19.20,18.61
2003,8.40,8.65,14.14,18.61,22.55,28.20,33.20,31.41,25.95,20.50,12.65,8.21,9.28,18.43,30.94,19.70,19.59
2004,8.75,8.71,14.11,16.75,18.31,26.86,999.90,30.76,24.51,20.66,11.05,7.96,8.56,16.39,29.62,18.74,18.33
2005,5.66,7.96,14.16,17.56,24.21,27.81,32.81,30.11,24.61,19.81,12.80,7.67,7.19,18.64,30.24,19.07,18.79
2006,5.62,9.02,14.59,19.22,23.77,27.22,31.31,29.67,22.92,20.87,13.48,8.83,7.44,19.19,29.40,19.09,18.78
2007,8.83,11.58,11.63,16.24,22.18,28.69,30.95,29.83,25.84,19.73,11.83,7.77,9.75,16.68,29.82,19.13,18.85
2008,8.53,10.36,13.81,18.17,22.78,26.88,32.22,31.16,25.51,17.83,10.19,7.02,8.89,18.25,30.09,17.84,18.77
2009,8.32,9.24,13.42,14.08,22.79,28.80,32.38,31.09,22.84,18.85,13.98,11.34,8.19,16.76,30.76,18.56,18.57
2010,10.19,12.19,14.29,18.30,20.49,28.04,31.79,31.24,25.04,18.99,13.39,11.04,11.24,17.69,30.36,19.14,19.61
2011,9.16,9.00,12.02,19.11,21.64,25.91,31.58,31.15,27.35,17.54,12.63,8.56,9.73,17.59,29.55,19.17,19.01
2012,7.56,6.06,12.57,16.55,23.90,30.77,32.86,31.96,25.36,20.01,13.51,9.44,7.39,17.67,31.86,19.63,19.14
2013,9.16,8.42,14.51,17.46,21.63,26.79,31.31,29.09,25.52,22.07,12.42,7.70,9.01,17.87,29.06,20.00,18.98
2014,9.42,11.17,12.17,19.22,23.12,26.42,31.77,31.72,27.52,20.87,13.91,8.23,9.43,18.17,29.97,20.77,19.58
2015,7.56,8.27,13.34,20.08,25.07,27.05,31.63,30.16,25.94,19.54,12.82,8.30,8.02,19.50,29.61,19.43,19.14
2016,10.52,11.30,13.11,19.76,24.15,28.63,31.08,29.98,25.53,21.43,13.43,9.74,10.04,19.01,29.90,20.13,19.77
2017,7.24,12.24,15.24,18.04,25.69,28.34,31.29,31.19,25.14,18.74,12.74,8.94,9.74,19.66,30.27,18.87,19.64
2018,9.74,8.94,14.49,17.04,20.44,27.19,34.19,27.69,999.90,17.67,12.29,10.55,9.21,17.32,29.69,18.04,18.56
2019,7.80,9.05,9.75,17.05,21.75,30.49,31.90,30.90,26.40,19.70,13.05,10.63,9.13,16.18,31.10,19.72,19.03
2020,7.43,12.97,14.05,18.12,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,10.34,18.42,999.90,999.90,999.90
