YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1988,999.90,999.90,999.90,14.01,12.71,21.61,27.31,25.61,999.90,999.90,10.91,5.11,999.90,11.58,24.84,999.90,999.90
1989,999.90,6.81,999.90,11.81,999.90,999.90,25.11,24.91,21.41,999.90,12.21,9.82,5.72,999.90,24.08,17.09,14.99
1990,999.90,999.90,10.12,12.12,999.90,26.62,24.02,22.72,999.90,18.22,10.72,4.72,999.90,13.14,24.45,16.95,15.26
1991,999.90,999.90,999.90,999.90,999.90,999.90,25.62,999.90,21.82,999.90,999.90,4.73,999.90,999.90,999.90,999.90,999.90
1992,3.93,6.33,7.93,10.43,999.90,999.90,22.13,25.13,999.90,16.63,999.90,6.54,5.00,11.20,22.70,999.90,13.29
1993,999.90,4.94,999.90,12.34,17.94,23.84,999.90,25.64,21.44,17.84,999.90,6.65,5.50,13.36,25.29,16.88,15.26
1994,6.35,7.45,11.05,10.45,20.55,22.68,25.68,27.48,21.98,15.78,11.88,7.28,6.82,14.02,25.28,16.55,15.66
1995,7.68,9.58,8.73,11.22,12.93,21.13,25.28,23.98,20.43,15.97,11.08,9.14,8.18,10.96,23.46,15.83,14.61
1996,8.89,6.03,9.64,11.78,16.09,999.90,25.29,28.98,19.08,13.93,11.17,9.09,8.02,12.50,26.21,14.73,15.36
1997,8.54,8.54,8.69,11.49,20.04,25.63,26.29,24.89,999.90,15.99,10.94,7.74,8.72,13.41,25.60,15.95,15.92
1998,6.14,7.44,8.89,13.89,16.29,23.34,26.74,25.74,22.74,14.84,9.89,5.45,7.11,13.02,25.27,15.82,15.31
1999,6.90,5.19,10.35,13.40,21.15,25.30,25.60,29.15,22.85,19.45,10.35,6.81,5.85,14.97,26.68,17.55,16.26
2000,4.11,7.56,10.86,14.96,20.41,22.41,26.86,25.90,999.90,15.40,12.01,8.67,6.16,15.41,25.06,16.19,15.70
2001,999.90,7.02,14.47,12.72,18.22,23.56,27.57,26.47,21.57,20.07,10.57,5.87,7.60,15.14,25.87,17.40,16.50
2002,5.27,8.07,11.27,14.07,18.77,24.77,25.77,24.57,20.47,17.07,10.97,8.13,6.40,14.70,25.04,16.17,15.58
2003,6.48,5.88,999.90,13.58,17.98,24.58,28.18,28.92,999.90,17.88,11.28,6.19,6.83,14.00,27.23,17.06,16.28
2004,6.59,8.39,10.88,11.98,14.79,21.29,999.90,26.69,20.52,19.39,9.09,7.10,7.06,12.55,24.54,16.33,15.12
2005,3.80,4.10,10.50,13.30,19.60,23.30,27.20,24.90,21.00,17.40,11.30,5.70,5.00,14.47,25.13,16.57,15.29
2006,4.30,5.90,10.70,15.80,19.80,24.60,26.30,25.30,20.70,18.70,11.60,7.41,5.30,15.43,25.40,17.00,15.78
2007,7.61,8.61,8.81,13.11,17.71,24.61,26.71,26.51,21.11,16.61,10.12,6.47,7.88,13.21,25.94,15.95,15.74
2008,6.72,7.82,9.52,14.02,18.92,22.12,27.62,26.32,21.72,16.22,9.32,5.53,7.00,14.15,25.35,15.75,15.57
2009,6.23,5.88,9.23,10.33,17.33,23.03,28.13,25.83,20.13,15.13,11.33,9.13,5.88,12.30,25.66,15.53,14.84
2010,7.03,8.73,10.93,14.13,15.43,22.20,26.43,25.83,20.93,16.06,11.03,7.84,8.30,13.50,24.82,16.01,15.65
2011,6.84,5.74,9.45,13.69,16.54,21.34,26.74,26.44,22.34,15.34,11.64,7.16,6.81,13.23,24.84,16.44,15.33
2012,5.45,3.27,10.15,13.00,18.25,26.15,27.85,28.15,21.75,18.45,13.05,7.16,5.29,13.80,27.38,17.75,16.06
2013,6.26,5.71,11.56,14.66,17.16,21.46,25.91,24.76,21.66,20.16,9.96,6.36,6.38,14.46,24.04,17.26,15.54
2014,7.46,8.46,8.16,13.27,17.56,22.66,25.71,26.96,24.11,18.46,13.46,6.47,7.43,13.00,25.11,18.68,16.05
2015,5.57,5.17,9.47,14.67,19.47,22.22,26.12,25.97,22.27,17.42,999.90,7.83,5.74,14.54,24.77,17.09,15.53
2016,8.28,9.23,9.93,15.83,18.53,23.08,25.58,24.38,20.68,19.38,11.88,8.79,8.45,14.76,24.35,17.31,16.22
2017,4.74,9.04,11.39,13.44,20.39,24.59,27.19,27.64,21.34,15.44,10.14,6.39,7.52,15.07,26.47,15.64,16.18
2018,8.09,7.03,10.89,14.89,16.79,22.14,28.69,23.84,22.54,15.54,11.09,8.10,7.17,14.19,24.89,16.39,15.66
2019,5.05,6.00,9.60,12.75,14.95,25.75,27.85,27.45,22.70,17.25,10.05,9.65,6.38,12.43,27.02,16.67,15.62
2020,6.90,9.55,10.35,14.60,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,8.70,14.50,999.90,999.90,999.90
